variable;unit;tier;description;comment;weight;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Material Demand|Chemicals|Methanol|Transportation|Infrastructure;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Methanol|Transportation|Vehicle Stock;Mt/yr;2;Demand of methanol, used as precursor for various chemicals and fuels in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Commercial;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in commercial sector;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Biomass;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Coal;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Gas;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Hydro;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Nuclear;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Solar;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Transmission and Distribution;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Electricity|Wind;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Residential;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in residential sector;;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Transportation|Infrastructure;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Nitrogen Fertilizer|Transportation|Vehicle Stock;Mt/yr;3;Demand of single-nutrient nitrogen fertilizers and nitrogen containing multi-nutrient fertilizers in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Plastics;Mt/yr;3;Demand of plastics;;;;;;;;
Material Demand|Chemicals|Plastics|Commercial;Mt/yr;3;Demand of plastics in commercial sector;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity;Mt/yr;3;Demand of plastics in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Biomass;Mt/yr;3;Demand of plastics in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Coal;Mt/yr;3;Demand of plastics in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Gas;Mt/yr;3;Demand of plastics in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Hydro;Mt/yr;3;Demand of plastics in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Nuclear;Mt/yr;3;Demand of plastics in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Solar;Mt/yr;3;Demand of plastics in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Transmission and Distribution;Mt/yr;3;Demand of plastics in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Plastics|Electricity|Wind;Mt/yr;3;Demand of plastics in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Plastics|Primary;Mt/yr;4;Demand of plastics, produced from virgin feedstocks;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Commercial;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in commercial sector;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Biomass;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Coal;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Gas;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Hydro;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Nuclear;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Solar;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Transmission and Distribution;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Electricity|Wind;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Residential;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in residential sector;;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Transportation|Infrastructure;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Plastics|Primary|Transportation|Vehicle Stock;Mt/yr;4;Demand of plastics, produced from virgin feedstocks in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Plastics|Residential;Mt/yr;3;Demand of plastics in residential sector;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary;Mt/yr;4;Demand of plastics, produced in recycling processes;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Commercial;Mt/yr;4;Demand of plastics, produced in recycling processes in commercial sector;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity;Mt/yr;4;Demand of plastics, produced in recycling processes in electricity generation sector;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Biomass;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of biomass power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Coal;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of coal power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Gas;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of gas power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Hydro;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of hydro power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Nuclear;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of nuclear power plants;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Solar;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Transmission and Distribution;Mt/yr;4;Demand of plastics, produced in recycling processes in electricity transmission and distribution;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Electricity|Wind;Mt/yr;4;Demand of plastics, produced in recycling processes in construction of wind turbines;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Residential;Mt/yr;4;Demand of plastics, produced in recycling processes in residential sector;;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Transportation|Infrastructure;Mt/yr;4;Demand of plastics, produced in recycling processes in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Plastics|Secondary|Transportation|Vehicle Stock;Mt/yr;4;Demand of plastics, produced in recycling processes in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Chemicals|Plastics|Transportation|Infrastructure;Mt/yr;3;Demand of plastics in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Chemicals|Plastics|Transportation|Vehicle Stock;Mt/yr;3;Demand of plastics in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Iron and Steel|Steel;Mt/yr;2;Demand of steel commodities;;;;;;;;
Material Demand|Iron and Steel|Steel|Commercial;Mt/yr;2;Demand of steel commodities in commercial sector;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity;Mt/yr;2;Demand of steel commodities in electricity generation sector;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Biomass;Mt/yr;2;Demand of steel commodities in construction of biomass power plants;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Coal;Mt/yr;2;Demand of steel commodities in construction of coal power plants;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Gas;Mt/yr;2;Demand of steel commodities in construction of gas power plants;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Hydro;Mt/yr;2;Demand of steel commodities in construction of hydro power plants;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Nuclear;Mt/yr;2;Demand of steel commodities in construction of nuclear power plants;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Solar;Mt/yr;2;Demand of steel commodities in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Transmission and Distribution;Mt/yr;2;Demand of steel commodities in electricity transmission and distribution;;;;;;;;
Material Demand|Iron and Steel|Steel|Electricity|Wind;Mt/yr;2;Demand of steel commodities in construction of wind turbines;;;;;;;;
Material Demand|Iron and Steel|Steel|Residential;Mt/yr;2;Demand of steel commodities in residential sector;;;;;;;;
Material Demand|Iron and Steel|Steel|Transportation|Infrastructure;Mt/yr;2;Demand of steel commodities in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Iron and Steel|Steel|Transportation|Vehicle Stock;Mt/yr;2;Demand of steel commodities in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum;Mt/yr;2;Demand of aluminum;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Commercial;Mt/yr;2;Demand of aluminum in commercial sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity;Mt/yr;2;Demand of aluminum in electricity generation sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Biomass;Mt/yr;2;Demand of aluminum in construction of biomass power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Coal;Mt/yr;2;Demand of aluminum in construction of coal power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Gas;Mt/yr;2;Demand of aluminum in construction of gas power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Hydro;Mt/yr;2;Demand of aluminum in construction of hydro power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Nuclear;Mt/yr;2;Demand of aluminum in construction of nuclear power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Solar;Mt/yr;2;Demand of aluminum in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Transmission and Distribution;Mt/yr;2;Demand of aluminum in electricity transmission and distribution;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Electricity|Wind;Mt/yr;2;Demand of aluminum in construction of wind turbines;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Residential;Mt/yr;2;Demand of aluminum in residential sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Transportation|Infrastructure;Mt/yr;2;Demand of aluminum in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Non-Ferrous Metals|Aluminum|Transportation|Vehicle Stock;Mt/yr;2;Demand of aluminum in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Non-Ferrous Metals|Copper;Mt/yr;3;Demand of copper;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Commercial;Mt/yr;2;Demand of copper in commercial sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity;Mt/yr;2;Demand of copper in electricity generation sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Biomass;Mt/yr;2;Demand of copper in construction of biomass power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Coal;Mt/yr;2;Demand of copper in construction of coal power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Gas;Mt/yr;2;Demand of copper in construction of gas power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Hydro;Mt/yr;2;Demand of copper in construction of hydro power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Nuclear;Mt/yr;2;Demand of copper in construction of nuclear power plants;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Solar;Mt/yr;2;Demand of copper in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Transmission and Distribution;Mt/yr;2;Demand of copper in electricity transmission and distribution;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Electricity|Wind;Mt/yr;2;Demand of copper in construction of wind turbines;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Residential;Mt/yr;2;Demand of copper in residential sector;;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Transportation|Infrastructure;Mt/yr;2;Demand of copper in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Non-Ferrous Metals|Copper|Transportation|Vehicle Stock;Mt/yr;2;Demand of copper in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Demand|Non-Metallic Minerals|Cement;Mt/yr;2;Demand of cement;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Commercial;Mt/yr;2;Demand of cement in commercial sector;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity;Mt/yr;2;Demand of cement in electricity generation sector;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Biomass;Mt/yr;2;Demand of cement in construction of biomass power plants;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Coal;Mt/yr;2;Demand of cement in construction of coal power plants;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Gas;Mt/yr;2;Demand of cement in construction of gas power plants;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Hydro;Mt/yr;2;Demand of cement in construction of hydro power plants;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Nuclear;Mt/yr;2;Demand of cement in construction of nuclear power plants;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Solar;Mt/yr;2;Demand of cement in construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Transmission and Distribution;Mt/yr;2;Demand of cement in electricity transmission and distribution;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Electricity|Wind;Mt/yr;2;Demand of cement in construction of wind turbines;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Residential;Mt/yr;2;Demand of cement in residential sector;;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Transportation|Infrastructure;Mt/yr;2;Demand of cement in fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Demand|Non-Metallic Minerals|Cement|Transportation|Vehicle Stock;Mt/yr;2;Demand of cement in vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Stock|Iron and Steel|Steel;Mt;;Material stock of steel;;;;;;;;
Material Stock|Iron and Steel|Steel|Commercial;Mt;;Material stock of steel in the commercial sector;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity;Mt;;Material stock of steel in the electricity generation sector;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Biomass;Mt;;Material stock of steel in the construction of biomass power plants;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Coal;Mt;;Material stock of steel in the construction of coal power plants;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Gas;Mt;;Material stock of steel in the construction of gas power plants;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Hydro;Mt;;Material stock of steel in the construction of hydro power plants;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Nuclear;Mt;;Material stock of steel in the construction of nuclear power plants;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Solar;Mt;;Material stock of steel in the construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Transmission and Distribution;Mt;;Material stock of steel in the electricity transmission and distribution;;;;;;;;
Material Stock|Iron and Steel|Steel|Electricity|Wind;Mt;;Material stock of steel in the construction of wind turbines;;;;;;;;
Material Stock|Iron and Steel|Steel|Residential;Mt;;Material stock of steel in the residential sector;;;;;;;;
Material Stock|Iron and Steel|Steel|Transportation|Infrastructure;Mt;;Material stock of steel in the fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Stock|Iron and Steel|Steel|Transportation|Vehicle Stock;Mt;;Material stock of steel in the vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum;Mt;;Material stock of aluminum;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Commercial;Mt;;Material stock of aluminum in the commercial sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity;Mt;;Material stock of aluminum in the electricity generation sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Biomass;Mt;;Material stock of aluminum in the construction of biomass power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Coal;Mt;;Material stock of aluminum in the construction of coal power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Gas;Mt;;Material stock of aluminum in the construction of gas power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Hydro;Mt;;Material stock of aluminum in the construction of hydro power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Nuclear;Mt;;Material stock of aluminum in the construction of nuclear power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Solar;Mt;;Material stock of aluminum in the construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Transmission and Distribution;Mt;;Material stock of aluminum in the electricity transmission and distribution;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Electricity|Wind;Mt;;Material stock of aluminum in the construction of wind turbines;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Residential;Mt;;Material stock of aluminum in the residential sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Transportation|Infrastructure;Mt;;Material stock of aluminum in the fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Stock|Non-Ferrous Metals|Aluminum|Transportation|Vehicle Stock;Mt;;Material stock of aluminum in the vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Stock|Non-Ferrous Metals|Copper;Mt;;Material stock of copper;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Commercial;Mt;;Material stock of copper in the commercial sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity;Mt;;Material stock of copper in the electricity generation sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Biomass;Mt;;Material stock of copper in the construction of biomass power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Coal;Mt;;Material stock of copper in the construction of coal power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Gas;Mt;;Material stock of copper in the construction of gas power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Hydro;Mt;;Material stock of copper in the construction of hydro power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Nuclear;Mt;;Material stock of copper in the construction of nuclear power plants;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Solar;Mt;;Material stock of copper in the construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Transmission and Distribution;Mt;;Material stock of copper in the electricity transmission and distribution;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Electricity|Wind;Mt;;Material stock of copper in the construction of wind turbines;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Residential;Mt;;Material stock of copper in the residential sector;;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Transportation|Infrastructure;Mt;;Material stock of copper in the fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Stock|Non-Ferrous Metals|Copper|Transportation|Vehicle Stock;Mt;;Material stock of copper in the vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Material Stock|Non-Metallic Minerals|Cement;Mt;;Material stock of cement;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Commercial;Mt;;Material stock of cement in the commercial sector;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity;Mt;;Material stock of cement in the electricity generation sector;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Biomass;Mt;;Material stock of cement in the construction of biomass power plants;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Coal;Mt;;Material stock of cement in the construction of coal power plants;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Gas;Mt;;Material stock of cement in the construction of gas power plants;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Hydro;Mt;;Material stock of cement in the construction of hydro power plants;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Nuclear;Mt;;Material stock of cement in the construction of nuclear power plants;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Solar;Mt;;Material stock of cement in the construction of solar photovoltaics and concentrated solar power;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Transmission and Distribution;Mt;;Material stock of cement in the electricity transmission and distribution;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Electricity|Wind;Mt;;Material stock of cement in the construction of wind turbines;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Residential;Mt;;Material stock of cement in the residential sector;;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Transportation|Infrastructure;Mt;;Material stock of cement in the fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Material Stock|Non-Metallic Minerals|Cement|Transportation|Vehicle Stock;Mt;;Material stock of cement in the vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Scrap|Iron and Steel|Steel;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection);;;;;;;;
Scrap|Iron and Steel|Steel|Commercial;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from commercial sector;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from electricity generation sector;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Biomass;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of biomass power plants;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Coal;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of coal power plants;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Gas;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of gas power plants;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Hydro;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of hydro power plants;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Nuclear;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of nuclear power plants;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Solar;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of solar photovoltaics and concentrated solar power;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Transmission and Distribution;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from electricity transmission and distribution;;;;;;;;
Scrap|Iron and Steel|Steel|Electricity|Wind;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from construction of wind turbines;;;;;;;;
Scrap|Iron and Steel|Steel|Residential;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from residential sector;;;;;;;;
Scrap|Iron and Steel|Steel|Transportation|Infrastructure;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from fixed structures, installations and networks for mobility (e.g roads, bridges, rail, waterways) excluding means of transportation (e.g. cars, trains, airplanes);;;;;;;;
Scrap|Iron and Steel|Steel|Transportation|Vehicle Stock;Mt/yr;;Total potential of steel scrap material as a result of end of life products (before collection) from vehicle stock (e.g. cars, trains, airplanes, ships);;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection);;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Commercial;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from commercial sector;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from electricity generation sector;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Biomass;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of biomass power plants;;;;;;;;
Scrap|Non-Ferrous Metals|Aluminum|Electricity|Coal;Mt/yr;;Total potential of aluminum scrap material as a result of end of life products (before collection) from construction of coal power plants;;;;;;;;
